name,lat,lon,cluster,source,max_abs
chichijima-047a-jpn-uhslc,27.1,142.183,212,uhslc,0.5672066412869803
choshigyoko-ma64-jpn-jodc_jma,35.7445,140.8583,375,jodc_jma,0.7577943066035454
christiansted_harbor-9751364-usa-noaa,17.7477,-64.6984,183,noaa,0.5445259145246455
christmas-011a-kir-uhslc,1.985,-157.477,13,uhslc,0.252694687297868
christmas-011b-aus-uhslc,1.982,-157.472,13,uhslc,0.2700512800466185
churchill-274a-can-uhslc,58.767,-94.183,1015,uhslc,2.179345529157406
churchill-5010-can-meds,58.77,-94.18,1015,meds,2.2206053426391827
chuuk-054a-fsm-uhslc,7.45,151.85,23,uhslc,0.2868816816259375
chuuk-1840000-usa-noaa,7.4467,151.847,23,noaa,0.2874037126433135
ciudad_del_carmen-403-mex-unam,18.6367,-91.8367,308,unam,0.6771917849468185
ciudad_del_carmen-779a-mex-uhslc,18.533,-91.833,307,uhslc,0.6770952721973973
civitavecchia-civ-ita-ispra,42.094,11.7896,669,ispra,1.1493943438835712
clearwater_bch_fl-773a-usa-uhslc,27.977,-82.832,632,uhslc,1.0921842054839404
clearwater_beach-8726724-usa-noaa,27.9783,-82.8317,632,noaa,1.1452120624445978
cleveland_oh-9063063-usa-noaa,41.5409,-81.6355,635,noaa,1.0971791709417786
clump_point-59168-aus-bom,-17.8515,146.1053,610,bom,1.0591979762901842
coast_guard_sector_mobile-8736897-usa-noaa,30.6483,-88.0583,762,noaa,1.3292006304396309
coatzacoalcos-405-mex-unam,18.1433,-94.4117,916,unam,1.674051021237546
cocos-171a-aus-uhslc,-12.117,96.892,48,uhslc,0.33353538656213
coffs_harbour-205470-aus-bom,-30.3029,153.1461,140,bom,0.491085035362817
collingwood_ontario-11500-can-meds,44.51,-80.22,315,meds,0.6861389693012379
colonial_beach-8635150-usa-noaa,38.2517,-76.96,688,noaa,1.1962850593886434
concarneau-160-fra-refmar,47.8735,-3.9072,485,refmar,0.8827294093596105
concarneau_60minute-con-fra-cmems,47.8738,-3.9076,485,cmems,0.882927463918957
conimicut_light-8452944-usa-noaa,41.7167,-71.3433,889,noaa,1.6148106668239206
contrecoeur-15790-can-meds,45.86,-73.24,937,meds,1.742269706922796
contrecoeur_ioc-15780-can-meds,45.83,-73.28,811,meds,1.4355591229466274
cooktown-58940-aus-bom,-15.4667,145.25,261,bom,0.7169078567204902
cooktown-h066003a-aus-bom,-15.45,145.25,261,bom,0.6188603684586121
cordemais-397-fra-refmar,47.2772,-1.8898,968,refmar,1.862476745745147
cordemais_60minute-cor-fra-cmems,47.2772,-1.8898,968,cmems,1.861801744717894
cordova-9454050-usa-noaa,60.5583,-145.755,552,noaa,0.9737890848844324
cordova_alaska-583b-usa-uhslc,60.558,-145.753,552,uhslc,1.247567849569431
cornwall_ontario-14870-can-meds,45.01,-74.71,201,meds,0.5624601311769072
corpus_cristi_tx-770a-usa-uhslc,27.58,-97.217,649,uhslc,1.115220813388758
coruna-cor-esp-cmems,43.357,-8.389,108,cmems,0.4493493923647745
cote_ste_catherine-15450-can-meds,45.41,-73.57,460,meds,0.8578025205746708
coteau_du_lac-15140-can-meds,45.3,-74.17,530,meds,0.943279498095174
coteau_landing-15110-can-meds,45.25,-74.21,21,meds,0.2703130391927387
cranz-76-deu-wsv,53.5358,9.7915,1168,wsv,4.765449236197469
crescent_city-9419750-usa-noaa,41.7456,-124.1844,841,noaa,1.8528847600533347
crescent_city_ca-556a-usa-uhslc,41.745,-124.183,841,uhslc,1.5023261285877791
cristobal-266a-pan-uhslc,9.355,-79.915,44,uhslc,0.3249975694249934
cromer-cro-gbr-bodc,52.9342,1.3016,1000,bodc,2.112399312828801
cromer-cro-gbr-cmems,52.9333,1.3,1000,cmems,2.2512580992584885
crookhaven_heads-215408-aus-bom,-34.9066,150.7592,476,bom,0.8732881977967638
crotone-cro-ita-ispra,39.0836,17.1371,883,ispra,1.595021547059165
cruz-cruz-esp-ieo,28.6722,-17.768,11,ieo,0.3799081566092596
culebra-9752235-usa-noaa,18.3009,-65.3025,177,noaa,0.5370151225324221
cutler_naval_base-8411250-usa-noaa,44.6417,-67.2967,730,noaa,1.2594372737755748
cuxhaven-825a-deu-uhslc,53.867,8.717,1128,uhslc,3.782454472535248
cuxhaven_steubenhoft-77-deu-wsv,53.8677,8.7174,1128,wsv,3.3695308338373136
cuxhaven_steubenhoft-cux-deu-bfg,53.8677,8.7173,1128,bfg,3.782499497613183
dakar-223e-sen-uhslc,14.677,-17.42,54,uhslc,0.3499796835572138
dalian-630a-chn-uhslc,38.925,121.658,747,uhslc,1.2971808436738876
darwin-168a-aus-uhslc,-12.472,130.847,582,uhslc,1.0208262316661176
darwin-63230-aus-bom,-12.4718,130.8459,582,bom,2.278775405953445
daugavgriva-dau-lva-cmems,57.05,24.0167,670,cmems,1.150679905141959
dauphin_island-8735180-usa-noaa,30.25,-88.075,920,noaa,1.6818196642736918
dauphin_island_al-763a-usa-uhslc,30.25,-88.075,920,uhslc,1.6813980552934875
davao-372b-phl-uhslc,7.153,125.663,333,uhslc,0.7090866664681628
davis-173a-aus-uhslc,-68.45,77.967,165,uhslc,0.5229885012191208
