name,lat,lon,cluster,source,country,max_abs
reykjavik-288a-isl-uhslc,64.15,-21.933,521,uhslc,isl,0.933211219749655
rossport_ontario-10220-can-meds,48.83,-87.52,522,meds,can,0.9352935758724824
kungsholmsfort-2088-swe-smhi,56.1053,15.5894,523,smhi,swe,0.937556433926304
yokohamashinko-hd29-jpn-jodc_jcg,35.4542,139.6442,524,jodc_jcg,jpn,0.9376243787799228
port_orford_or-557a-usa-uhslc,42.74,-124.497,525,uhslc,usa,0.9376445482920684
komatsushima-ma36-jpn-jodc_jma,34.0092,134.5878,526,jodc_jma,jpn,0.9383136012030416
knysna-186a-zaf-uhslc,-34.05,23.045,527,uhslc,zaf,0.939346801349938
booby_island-336a-aus-uhslc,-10.603,141.91,528,uhslc,aus,0.9406122493080382
port_alberni_bc-8575-can-meds,49.23,-124.81,529,meds,can,0.9420913997893028
coteau_du_lac-15140-can-meds,45.3,-74.17,530,meds,can,0.943279498095174
tejn-tej-dnk-cmems,55.25,14.8333,531,cmems,dnk,0.9452315940772432
noto-ma80-jpn-jodc_jma,37.5008,137.1553,532,jodc_jma,jpn,0.9490814688240958
port_hardy_bc-8408-can-meds,50.72,-127.49,533,meds,can,0.9491831055019498
portsmouth-ptm-gbr-da_idh,50.8022,-1.1113,534,da_idh,gbr,0.95111661826842
stavanger-svg-nor-nhs,58.9743,5.7301,535,nhs,nor,0.9512898409342432
vaasa-vaa-fin-cmems,63.0815,21.5712,536,cmems,fin,0.9520963083514644
north_sydney-612-can-meds,46.22,-60.25,537,meds,can,0.9534284426086984
tosashimizu-ma39-jpn-jodc_jma,32.7792,132.9589,538,jodc_jma,jpn,0.9553103258032896
callao-093a-per-uhslc,-12.05,-77.15,539,uhslc,per,0.959059939562412
la_union-086a-slv-uhslc,13.333,-87.817,540,uhslc,slv,0.964358020962737
nagasaki-362a-jpn-uhslc,32.733,129.867,541,uhslc,jpn,0.9643632107166056
esashiko-0140-jpn-jodc_pahb,41.8706,140.1256,542,jodc_pahb,jpn,0.9650444518212083
takamatsu-ma35-jpn-jodc_jma,34.3514,134.057,543,jodc_jma,jpn,0.9652544175800396
oita-hd16-jpn-jodc_jcg,33.2661,131.6867,544,jodc_jcg,jpn,0.9658329169680498
odomari-hd20-jpn-jodc_jcg,31.0236,130.6892,545,jodc_jcg,jpn,0.966103558747998
asamushi-gs06-jpn-jodc_giaj,40.8975,140.8592,546,jodc_giaj,jpn,0.9668724910898948
algeciras-alge-esp-ieo,36.117,-5.4333,547,ieo,esp,0.9671846370757852
grenville-16045-can-meds,45.63,-74.61,548,meds,can,0.9678384962358486
san_diego-9410170-usa-noaa,32.7142,-117.1736,549,noaa,usa,0.9685237977742022
ferrol2-fer-esp-cmems,43.4762,-8.2485,550,cmems,esp,0.9718133647031738
turtle_head-58180-aus-bom,-10.5212,142.2133,551,bom,aus,0.9728619563587576
cordova-9454050-usa-noaa,60.5583,-145.755,552,noaa,usa,0.9737890848844324
akune-gs15-jpn-jodc_giaj,32.0175,130.1911,553,jodc_giaj,jpn,0.973945290829306
solomons_island-8577330-usa-noaa,38.3172,-76.4508,554,noaa,usa,0.9773118349638712
miyakeshima-ma71-jpn-jodc_jma,34.0572,139.5439,555,jodc_jma,jpn,0.9779118428688758
lower_iroquois_ontario-14602-can-meds,44.83,-75.31,556,meds,can,0.981494320835125
kushimoto-353a-jpn-uhslc,33.483,135.767,557,uhslc,jpn,0.9843763842388048
kaskinen-kas-fin-cmems,62.344,21.2148,558,cmems,fin,0.986913210625366
morrisburg_ontario-14660-can-meds,44.89,-75.19,559,meds,can,0.9870228436558784
yap-008b-fsm-uhslc,9.508,138.128,560,uhslc,fsm,0.9881939227327694
kelang-140a-mys-uhslc,3.05,101.358,561,uhslc,mys,0.9893625578728515
port_elizabeth-184a-zaf-uhslc,-33.96,25.63,562,uhslc,zaf,0.9927306685858128
amherstburg_ontario-11995-can-meds,42.14,-83.11,563,meds,can,0.9961883587706434
wladyslawowo-wla-pol-eseas,54.7967,18.4186,564,eseas,pol,0.9986034568267502
arena_cove-9416841-usa-noaa,38.9146,-123.7111,565,noaa,usa,0.9988248174829054
prince_rupert_bc-9354-can-meds,54.32,-130.32,566,meds,can,0.9998608886334868
mourilyan_harbour-59140-aus-bom,-17.6,146.1167,567,bom,aus,1.0059497119627157
vancouver_bc-7735-can-meds,49.29,-123.11,568,meds,can,1.0063806356766272
uno-ma33-jpn-jodc_jma,34.4886,133.9495,569,jodc_jma,jpn,1.0068838081985
kamaishi-hd05-jpn-jodc_jcg,39.2733,141.8892,570,jodc_jcg,jpn,1.0069626972383183
fishermans_landing-h052003b-aus-bom,-23.78,151.17,571,bom,aus,1.0109266746036816
saldahna_bay-703a-zaf-uhslc,-33.017,17.95,572,uhslc,zaf,1.011755730163783
makurazaki-ma43-jpn-jodc_jma,31.2678,130.293,573,jodc_jma,jpn,1.0128987763106867
mawson-177a-aus-uhslc,-67.6,62.867,574,uhslc,aus,1.014311505676146
pulpit_harbor-8414888-usa-da_sat,44.1565,-68.8862,575,da_sat,usa,1.0155051676458309
fishguard-fis-gbr-bodc,52.0132,-4.9837,576,bodc,gbr,1.0158649853260242
rorvik-rvk-nor-nhs,64.8595,11.2301,577,nhs,nor,1.0162736951208091
bari-bar-ita-ispra,41.1402,16.866,578,ispra,ita,1.0175204953186603
